Question;Charts_id
The variable smoothness_se can be seen as ordinal.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
The variable area_se can be seen as ordinal.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
The variable perimeter_se can be seen as ordinal.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
The variable texture_se can be seen as ordinal.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
The variable perimeter_mean can be seen as ordinal.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
The variable texture_mean can be seen as ordinal.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
The variable perimeter_worst can be seen as ordinal without losing information.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
The variable texture_worst can be seen as ordinal without losing information.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
The variable radius_worst can be seen as ordinal without losing information.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
The variable symmetry_se can be seen as ordinal without losing information.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
The variable smoothness_se can be seen as ordinal without losing information.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
The variable area_se can be seen as ordinal without losing information.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
The variable perimeter_se can be seen as ordinal without losing information.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
The variable texture_se can be seen as ordinal without losing information.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
The variable perimeter_mean can be seen as ordinal without losing information.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
The variable texture_mean can be seen as ordinal without losing information.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
Variable perimeter_worst is balanced.;['Breast_Cancer_histograms_numeric', 'Breast_Cancer_boxplots']
Variable texture_worst is balanced.;['Breast_Cancer_histograms_numeric', 'Breast_Cancer_boxplots']
Variable radius_worst is balanced.;['Breast_Cancer_histograms_numeric', 'Breast_Cancer_boxplots']
Variable symmetry_se is balanced.;['Breast_Cancer_histograms_numeric', 'Breast_Cancer_boxplots']
Variable smoothness_se is balanced.;['Breast_Cancer_histograms_numeric', 'Breast_Cancer_boxplots']
Variable area_se is balanced.;['Breast_Cancer_histograms_numeric', 'Breast_Cancer_boxplots']
Variable perimeter_se is balanced.;['Breast_Cancer_histograms_numeric', 'Breast_Cancer_boxplots']
Variable texture_se is balanced.;['Breast_Cancer_histograms_numeric', 'Breast_Cancer_boxplots']
Variable perimeter_mean is balanced.;['Breast_Cancer_histograms_numeric', 'Breast_Cancer_boxplots']
Variable texture_mean is balanced.;['Breast_Cancer_histograms_numeric', 'Breast_Cancer_boxplots']
Those boxplots show that the data is not normalized.;['Breast_Cancer_boxplots']
It is clear that variable texture_worst shows some outliers, but we can’t be sure of the same for variable perimeter_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable radius_worst shows some outliers, but we can’t be sure of the same for variable perimeter_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable symmetry_se shows some outliers, but we can’t be sure of the same for variable perimeter_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable smoothness_se shows some outliers, but we can’t be sure of the same for variable perimeter_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable area_se shows some outliers, but we can’t be sure of the same for variable perimeter_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_se shows some outliers, but we can’t be sure of the same for variable perimeter_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_se shows some outliers, but we can’t be sure of the same for variable perimeter_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_mean shows some outliers, but we can’t be sure of the same for variable perimeter_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_mean shows some outliers, but we can’t be sure of the same for variable perimeter_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_worst shows some outliers, but we can’t be sure of the same for variable texture_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable radius_worst shows some outliers, but we can’t be sure of the same for variable texture_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable symmetry_se shows some outliers, but we can’t be sure of the same for variable texture_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable smoothness_se shows some outliers, but we can’t be sure of the same for variable texture_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable area_se shows some outliers, but we can’t be sure of the same for variable texture_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_se shows some outliers, but we can’t be sure of the same for variable texture_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_se shows some outliers, but we can’t be sure of the same for variable texture_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_mean shows some outliers, but we can’t be sure of the same for variable texture_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_mean shows some outliers, but we can’t be sure of the same for variable texture_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_worst shows some outliers, but we can’t be sure of the same for variable radius_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_worst shows some outliers, but we can’t be sure of the same for variable radius_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable symmetry_se shows some outliers, but we can’t be sure of the same for variable radius_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable smoothness_se shows some outliers, but we can’t be sure of the same for variable radius_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable area_se shows some outliers, but we can’t be sure of the same for variable radius_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_se shows some outliers, but we can’t be sure of the same for variable radius_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_se shows some outliers, but we can’t be sure of the same for variable radius_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_mean shows some outliers, but we can’t be sure of the same for variable radius_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_mean shows some outliers, but we can’t be sure of the same for variable radius_worst.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_worst shows some outliers, but we can’t be sure of the same for variable symmetry_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_worst shows some outliers, but we can’t be sure of the same for variable symmetry_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable radius_worst shows some outliers, but we can’t be sure of the same for variable symmetry_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable smoothness_se shows some outliers, but we can’t be sure of the same for variable symmetry_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable area_se shows some outliers, but we can’t be sure of the same for variable symmetry_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_se shows some outliers, but we can’t be sure of the same for variable symmetry_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_se shows some outliers, but we can’t be sure of the same for variable symmetry_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_mean shows some outliers, but we can’t be sure of the same for variable symmetry_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_mean shows some outliers, but we can’t be sure of the same for variable symmetry_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_worst shows some outliers, but we can’t be sure of the same for variable smoothness_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_worst shows some outliers, but we can’t be sure of the same for variable smoothness_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable radius_worst shows some outliers, but we can’t be sure of the same for variable smoothness_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable symmetry_se shows some outliers, but we can’t be sure of the same for variable smoothness_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable area_se shows some outliers, but we can’t be sure of the same for variable smoothness_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_se shows some outliers, but we can’t be sure of the same for variable smoothness_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_se shows some outliers, but we can’t be sure of the same for variable smoothness_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_mean shows some outliers, but we can’t be sure of the same for variable smoothness_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_mean shows some outliers, but we can’t be sure of the same for variable smoothness_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_worst shows some outliers, but we can’t be sure of the same for variable area_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_worst shows some outliers, but we can’t be sure of the same for variable area_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable radius_worst shows some outliers, but we can’t be sure of the same for variable area_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable symmetry_se shows some outliers, but we can’t be sure of the same for variable area_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable smoothness_se shows some outliers, but we can’t be sure of the same for variable area_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_se shows some outliers, but we can’t be sure of the same for variable area_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_se shows some outliers, but we can’t be sure of the same for variable area_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_mean shows some outliers, but we can’t be sure of the same for variable area_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_mean shows some outliers, but we can’t be sure of the same for variable area_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_worst shows some outliers, but we can’t be sure of the same for variable perimeter_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_worst shows some outliers, but we can’t be sure of the same for variable perimeter_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable radius_worst shows some outliers, but we can’t be sure of the same for variable perimeter_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable symmetry_se shows some outliers, but we can’t be sure of the same for variable perimeter_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable smoothness_se shows some outliers, but we can’t be sure of the same for variable perimeter_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable area_se shows some outliers, but we can’t be sure of the same for variable perimeter_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_se shows some outliers, but we can’t be sure of the same for variable perimeter_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_mean shows some outliers, but we can’t be sure of the same for variable perimeter_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_mean shows some outliers, but we can’t be sure of the same for variable perimeter_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_worst shows some outliers, but we can’t be sure of the same for variable texture_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_worst shows some outliers, but we can’t be sure of the same for variable texture_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable radius_worst shows some outliers, but we can’t be sure of the same for variable texture_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable symmetry_se shows some outliers, but we can’t be sure of the same for variable texture_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable smoothness_se shows some outliers, but we can’t be sure of the same for variable texture_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable area_se shows some outliers, but we can’t be sure of the same for variable texture_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_se shows some outliers, but we can’t be sure of the same for variable texture_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_mean shows some outliers, but we can’t be sure of the same for variable texture_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_mean shows some outliers, but we can’t be sure of the same for variable texture_se.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_worst shows some outliers, but we can’t be sure of the same for variable perimeter_mean.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_worst shows some outliers, but we can’t be sure of the same for variable perimeter_mean.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable radius_worst shows some outliers, but we can’t be sure of the same for variable perimeter_mean.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable symmetry_se shows some outliers, but we can’t be sure of the same for variable perimeter_mean.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable smoothness_se shows some outliers, but we can’t be sure of the same for variable perimeter_mean.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable area_se shows some outliers, but we can’t be sure of the same for variable perimeter_mean.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_se shows some outliers, but we can’t be sure of the same for variable perimeter_mean.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_se shows some outliers, but we can’t be sure of the same for variable perimeter_mean.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_mean shows some outliers, but we can’t be sure of the same for variable perimeter_mean.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_worst shows some outliers, but we can’t be sure of the same for variable texture_mean.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_worst shows some outliers, but we can’t be sure of the same for variable texture_mean.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable radius_worst shows some outliers, but we can’t be sure of the same for variable texture_mean.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable symmetry_se shows some outliers, but we can’t be sure of the same for variable texture_mean.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable smoothness_se shows some outliers, but we can’t be sure of the same for variable texture_mean.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable area_se shows some outliers, but we can’t be sure of the same for variable texture_mean.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_se shows some outliers, but we can’t be sure of the same for variable texture_mean.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable texture_se shows some outliers, but we can’t be sure of the same for variable texture_mean.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
It is clear that variable perimeter_mean shows some outliers, but we can’t be sure of the same for variable texture_mean.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Outliers seem to be a problem in the dataset.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable perimeter_worst shows a high number of outlier values.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable texture_worst shows a high number of outlier values.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable radius_worst shows a high number of outlier values.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable symmetry_se shows a high number of outlier values.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable smoothness_se shows a high number of outlier values.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable area_se shows a high number of outlier values.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable perimeter_se shows a high number of outlier values.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable texture_se shows a high number of outlier values.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable perimeter_mean shows a high number of outlier values.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable texture_mean shows a high number of outlier values.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable perimeter_worst shows some outlier values.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable texture_worst shows some outlier values.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable radius_worst shows some outlier values.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable symmetry_se shows some outlier values.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable smoothness_se shows some outlier values.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable area_se shows some outlier values.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable perimeter_se shows some outlier values.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable texture_se shows some outlier values.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable perimeter_mean shows some outlier values.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable texture_mean shows some outlier values.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable perimeter_worst doesn’t have any outliers.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable texture_worst doesn’t have any outliers.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable radius_worst doesn’t have any outliers.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable symmetry_se doesn’t have any outliers.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable smoothness_se doesn’t have any outliers.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable area_se doesn’t have any outliers.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable perimeter_se doesn’t have any outliers.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable texture_se doesn’t have any outliers.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable perimeter_mean doesn’t have any outliers.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable texture_mean doesn’t have any outliers.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable perimeter_worst presents some outliers.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable texture_worst presents some outliers.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable radius_worst presents some outliers.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable symmetry_se presents some outliers.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable smoothness_se presents some outliers.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable area_se presents some outliers.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable perimeter_se presents some outliers.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable texture_se presents some outliers.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable perimeter_mean presents some outliers.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable texture_mean presents some outliers.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
The histograms presented show a large number of outliers for most of the numeric variables.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
The boxplots presented show a large number of outliers for most of the numeric variables.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
The existence of outliers is one of the problems to tackle in this dataset.;['Breast_Cancer_boxplots', 'Breast_Cancer_histograms_numeric']
Variable perimeter_worst is a false predictor.;"[""Breast_Cancer_description:{'Records': 569, 'Variables': {'diagnosis': {'Type': 'binary', 'Unique values': array(['M', 'B'], dtype=object)}, 'texture_mean': {'Type': 'numeric', 'Range': [9.71, 39.28]}, 'perimeter_mean': {'Type': 'numeric', 'Range': [43.79, 188.5]}, 'texture_se': {'Type': 'numeric', 'Range': [0.3602, 4.885]}, 'perimeter_se': {'Type': 'numeric', 'Range': [0.757, 21.98]}, 'area_se': {'Type': 'numeric', 'Range': [6.802, 542.2]}, 'smoothness_se': {'Type': 'numeric', 'Range': [0.001713, 0.03113]}, 'symmetry_se': {'Type': 'numeric', 'Range': [0.007882, 0.07895]}, 'radius_worst': {'Type': 'numeric', 'Range': [7.93, 36.04]}, 'texture_worst': {'Type': 'numeric', 'Range': [12.02, 49.54]}, 'perimeter_worst': {'Type': 'numeric', 'Range': [50.41, 251.2]}}, 'Class': 'diagnosis'}""]"
Variable texture_worst is a false predictor.;"[""Breast_Cancer_description:{'Records': 569, 'Variables': {'diagnosis': {'Type': 'binary', 'Unique values': array(['M', 'B'], dtype=object)}, 'texture_mean': {'Type': 'numeric', 'Range': [9.71, 39.28]}, 'perimeter_mean': {'Type': 'numeric', 'Range': [43.79, 188.5]}, 'texture_se': {'Type': 'numeric', 'Range': [0.3602, 4.885]}, 'perimeter_se': {'Type': 'numeric', 'Range': [0.757, 21.98]}, 'area_se': {'Type': 'numeric', 'Range': [6.802, 542.2]}, 'smoothness_se': {'Type': 'numeric', 'Range': [0.001713, 0.03113]}, 'symmetry_se': {'Type': 'numeric', 'Range': [0.007882, 0.07895]}, 'radius_worst': {'Type': 'numeric', 'Range': [7.93, 36.04]}, 'texture_worst': {'Type': 'numeric', 'Range': [12.02, 49.54]}, 'perimeter_worst': {'Type': 'numeric', 'Range': [50.41, 251.2]}}, 'Class': 'diagnosis'}""]"
Variable radius_worst is a false predictor.;"[""Breast_Cancer_description:{'Records': 569, 'Variables': {'diagnosis': {'Type': 'binary', 'Unique values': array(['M', 'B'], dtype=object)}, 'texture_mean': {'Type': 'numeric', 'Range': [9.71, 39.28]}, 'perimeter_mean': {'Type': 'numeric', 'Range': [43.79, 188.5]}, 'texture_se': {'Type': 'numeric', 'Range': [0.3602, 4.885]}, 'perimeter_se': {'Type': 'numeric', 'Range': [0.757, 21.98]}, 'area_se': {'Type': 'numeric', 'Range': [6.802, 542.2]}, 'smoothness_se': {'Type': 'numeric', 'Range': [0.001713, 0.03113]}, 'symmetry_se': {'Type': 'numeric', 'Range': [0.007882, 0.07895]}, 'radius_worst': {'Type': 'numeric', 'Range': [7.93, 36.04]}, 'texture_worst': {'Type': 'numeric', 'Range': [12.02, 49.54]}, 'perimeter_worst': {'Type': 'numeric', 'Range': [50.41, 251.2]}}, 'Class': 'diagnosis'}""]"
